left_char;right_char;strength_left;strength_right;value_left;scenario;value_left_rep1;value_left_rep2;sex;age;height;have_child;id_participant
2;6;7;3;8;4;-1;-1;0;57;169;1;d60c0832fc30e645ca04f074c44b49eb
6;5;3;6;1;2;-1;-1;0;57;169;1;d60c0832fc30e645ca04f074c44b49eb
6;3;3;8;1;3;-1;-1;0;57;169;1;d60c0832fc30e645ca04f074c44b49eb
7;6;10;3;0;9;-1;-1;0;57;169;1;d60c0832fc30e645ca04f074c44b49eb
3;5;8;6;5;7;-1;-1;0;57;169;1;d60c0832fc30e645ca04f074c44b49eb
7;1;10;1;0;8;-1;-1;0;57;169;1;d60c0832fc30e645ca04f074c44b49eb
1;6;1;3;5;1;-1;-1;0;57;169;1;d60c0832fc30e645ca04f074c44b49eb
1;6;1;3;2;5;-1;-1;0;57;169;1;d60c0832fc30e645ca04f074c44b49eb
4;3;5;8;2;6;-1;-1;0;57;169;1;d60c0832fc30e645ca04f074c44b49eb
1;6;1;3;2;5;2;-1;0;57;169;1;d60c0832fc30e645ca04f074c44b49eb
7;6;10;3;0;9;0;-1;0;57;169;1;d60c0832fc30e645ca04f074c44b49eb
6;5;3;6;1;2;1;-1;0;57;169;1;d60c0832fc30e645ca04f074c44b49eb
3;5;8;6;5;7;5;-1;0;57;169;1;d60c0832fc30e645ca04f074c44b49eb
7;1;10;1;0;8;0;-1;0;57;169;1;d60c0832fc30e645ca04f074c44b49eb
1;6;1;3;5;1;5;-1;0;57;169;1;d60c0832fc30e645ca04f074c44b49eb
2;6;7;3;5;4;8;-1;0;57;169;1;d60c0832fc30e645ca04f074c44b49eb
4;3;5;8;2;6;2;-1;0;57;169;1;d60c0832fc30e645ca04f074c44b49eb
6;3;3;8;1;3;1;-1;0;57;169;1;d60c0832fc30e645ca04f074c44b49eb
1;6;1;3;5;1;5;5;0;57;169;1;d60c0832fc30e645ca04f074c44b49eb
4;3;5;8;3;6;2;2;0;57;169;1;d60c0832fc30e645ca04f074c44b49eb
6;5;3;6;1;2;1;1;0;57;169;1;d60c0832fc30e645ca04f074c44b49eb
3;5;8;6;5;7;5;5;0;57;169;1;d60c0832fc30e645ca04f074c44b49eb
1;6;1;3;2;5;2;2;0;57;169;1;d60c0832fc30e645ca04f074c44b49eb
2;6;7;3;8;4;8;5;0;57;169;1;d60c0832fc30e645ca04f074c44b49eb
7;6;10;3;0;9;0;0;0;57;169;1;d60c0832fc30e645ca04f074c44b49eb
7;1;10;1;0;8;0;0;0;57;169;1;d60c0832fc30e645ca04f074c44b49eb
6;3;3;8;1;3;1;1;0;57;169;1;d60c0832fc30e645ca04f074c44b49eb
1;3;1;8;0;2;-1;-1;1;23;182;0;0b3df09027f409a78932dae68f21d84a
7;1;10;1;10;3;-1;-1;1;23;182;0;0b3df09027f409a78932dae68f21d84a
3;5;8;5;5;8;-1;-1;1;23;182;0;0b3df09027f409a78932dae68f21d84a
7;3;10;8;0;9;-1;-1;1;23;182;0;0b3df09027f409a78932dae68f21d84a
2;4;3;2;7;4;-1;-1;1;23;182;0;0b3df09027f409a78932dae68f21d84a
7;6;10;3;10;5;-1;-1;1;23;182;0;0b3df09027f409a78932dae68f21d84a
6;5;3;5;2;6;-1;-1;1;23;182;0;0b3df09027f409a78932dae68f21d84a
4;6;2;3;7;7;-1;-1;1;23;182;0;0b3df09027f409a78932dae68f21d84a
2;5;3;5;2;1;-1;-1;1;23;182;0;0b3df09027f409a78932dae68f21d84a
7;3;10;8;0;9;0;-1;1;23;182;0;0b3df09027f409a78932dae68f21d84a
1;3;1;8;0;2;0;-1;1;23;182;0;0b3df09027f409a78932dae68f21d84a
2;5;3;5;0;1;2;-1;1;23;182;0;0b3df09027f409a78932dae68f21d84a
7;1;10;1;10;3;10;-1;1;23;182;0;0b3df09027f409a78932dae68f21d84a
2;4;3;2;7;4;7;-1;1;23;182;0;0b3df09027f409a78932dae68f21d84a
6;5;3;5;2;6;2;-1;1;23;182;0;0b3df09027f409a78932dae68f21d84a
4;6;2;3;7;7;7;-1;1;23;182;0;0b3df09027f409a78932dae68f21d84a
7;6;10;3;10;5;10;-1;1;23;182;0;0b3df09027f409a78932dae68f21d84a
3;5;8;5;5;8;5;-1;1;23;182;0;0b3df09027f409a78932dae68f21d84a
7;3;10;8;0;9;0;0;1;23;182;0;0b3df09027f409a78932dae68f21d84a
6;5;3;5;2;6;2;2;1;23;182;0;0b3df09027f409a78932dae68f21d84a
2;4;3;2;7;4;7;7;1;23;182;0;0b3df09027f409a78932dae68f21d84a
4;6;2;3;7;7;7;7;1;23;182;0;0b3df09027f409a78932dae68f21d84a
7;6;10;3;10;5;10;10;1;23;182;0;0b3df09027f409a78932dae68f21d84a
7;1;10;1;10;3;10;10;1;23;182;0;0b3df09027f409a78932dae68f21d84a
1;3;1;8;0;2;0;0;1;23;182;0;0b3df09027f409a78932dae68f21d84a
3;5;8;5;5;8;5;5;1;23;182;0;0b3df09027f409a78932dae68f21d84a
2;5;3;5;0;1;2;0;1;23;182;0;0b3df09027f409a78932dae68f21d84a
4;7;6;10;3;5;-1;-1;0;24;158;0;95d0e71312fa611b6f257271e0205d67
2;7;6;10;6;7;-1;-1;0;24;158;0;95d0e71312fa611b6f257271e0205d67
6;5;4;7;2;1;-1;-1;0;24;158;0;95d0e71312fa611b6f257271e0205d67
4;1;6;1;7;9;-1;-1;0;24;158;0;95d0e71312fa611b6f257271e0205d67
2;5;6;7;4;3;-1;-1;0;24;158;0;95d0e71312fa611b6f257271e0205d67
2;6;6;4;7;6;-1;-1;0;24;158;0;95d0e71312fa611b6f257271e0205d67
7;1;10;1;6;8;-1;-1;0;24;158;0;95d0e71312fa611b6f257271e0205d67
2;1;6;1;8;2;-1;-1;0;24;158;0;95d0e71312fa611b6f257271e0205d67
7;5;10;7;7;4;-1;-1;0;24;158;0;95d0e71312fa611b6f257271e0205d67
4;7;6;10;3;5;3;-1;0;24;158;0;95d0e71312fa611b6f257271e0205d67
4;1;6;1;7;9;7;-1;0;24;158;0;95d0e71312fa611b6f257271e0205d67
7;1;10;1;7;8;6;-1;0;24;158;0;95d0e71312fa611b6f257271e0205d67
2;5;6;7;4;3;4;-1;0;24;158;0;95d0e71312fa611b6f257271e0205d67
6;5;4;7;2;1;2;-1;0;24;158;0;95d0e71312fa611b6f257271e0205d67
2;1;6;1;8;2;8;-1;0;24;158;0;95d0e71312fa611b6f257271e0205d67
2;6;6;4;8;6;7;-1;0;24;158;0;95d0e71312fa611b6f257271e0205d67
2;7;6;10;7;7;6;-1;0;24;158;0;95d0e71312fa611b6f257271e0205d67
7;5;10;7;7;4;7;-1;0;24;158;0;95d0e71312fa611b6f257271e0205d67
7;5;10;7;7;4;7;7;0;24;158;0;95d0e71312fa611b6f257271e0205d67
4;1;6;1;7;9;7;7;0;24;158;0;95d0e71312fa611b6f257271e0205d67
2;5;6;7;4;3;4;4;0;24;158;0;95d0e71312fa611b6f257271e0205d67
4;7;6;10;3;5;3;3;0;24;158;0;95d0e71312fa611b6f257271e0205d67
2;6;6;4;8;6;7;8;0;24;158;0;95d0e71312fa611b6f257271e0205d67
2;7;6;10;7;7;6;7;0;24;158;0;95d0e71312fa611b6f257271e0205d67
6;5;4;7;2;1;2;2;0;24;158;0;95d0e71312fa611b6f257271e0205d67
7;1;10;1;7;8;6;7;0;24;158;0;95d0e71312fa611b6f257271e0205d67
2;1;6;1;9;2;8;8;0;24;158;0;95d0e71312fa611b6f257271e0205d67
4;1;5;1;6;3;-1;-1;0;26;155;0;01276ee53afbdb3982262250788dfc1f
4;6;5;3;7;6;-1;-1;0;26;155;0;01276ee53afbdb3982262250788dfc1f
7;6;10;3;8;5;-1;-1;0;26;155;0;01276ee53afbdb3982262250788dfc1f
4;7;5;10;7;1;-1;-1;0;26;155;0;01276ee53afbdb3982262250788dfc1f
4;7;5;10;10;8;-1;-1;0;26;155;0;01276ee53afbdb3982262250788dfc1f
7;5;10;7;6;4;-1;-1;0;26;155;0;01276ee53afbdb3982262250788dfc1f
