left_char,right_char,strength_left,strength_right,value_left,scenario,value_left_rep1,value_left_rep2,sex,age,height,have_child,id_participant,strength_diff,age_left,age_right,age_diff
2,6,7,3,8,2,-1,-1,0,57,169,1,d60c0832fc30e645ca04f074c44b49eb,4,1,3,-2
6,5,3,6,1,1,-1,-1,0,57,169,1,d60c0832fc30e645ca04f074c44b49eb,-3,3,1,2
6,3,3,8,1,1,-1,-1,0,57,169,1,d60c0832fc30e645ca04f074c44b49eb,-5,3,1,2
7,6,10,3,0,3,-1,-1,0,57,169,1,d60c0832fc30e645ca04f074c44b49eb,7,10,3,7
3,5,8,6,5,3,-1,-1,0,57,169,1,d60c0832fc30e645ca04f074c44b49eb,2,1,1,0
7,1,10,1,0,3,-1,-1,0,57,169,1,d60c0832fc30e645ca04f074c44b49eb,9,10,0,10
1,6,1,3,5,1,-1,-1,0,57,169,1,d60c0832fc30e645ca04f074c44b49eb,-2,0,3,-3
1,6,1,3,2,2,-1,-1,0,57,169,1,d60c0832fc30e645ca04f074c44b49eb,-2,0,3,-3
4,3,5,8,2,2,-1,-1,0,57,169,1,d60c0832fc30e645ca04f074c44b49eb,-3,1,1,0
1,6,1,3,2,2,2,-1,0,57,169,1,d60c0832fc30e645ca04f074c44b49eb,-2,0,3,-3
7,6,10,3,0,3,0,-1,0,57,169,1,d60c0832fc30e645ca04f074c44b49eb,7,10,3,7
6,5,3,6,1,1,1,-1,0,57,169,1,d60c0832fc30e645ca04f074c44b49eb,-3,3,1,2
3,5,8,6,5,3,5,-1,0,57,169,1,d60c0832fc30e645ca04f074c44b49eb,2,1,1,0
7,1,10,1,0,3,0,-1,0,57,169,1,d60c0832fc30e645ca04f074c44b49eb,9,10,0,10
1,6,1,3,5,1,5,-1,0,57,169,1,d60c0832fc30e645ca04f074c44b49eb,-2,0,3,-3
2,6,7,3,5,2,8,-1,0,57,169,1,d60c0832fc30e645ca04f074c44b49eb,4,1,3,-2
4,3,5,8,2,2,2,-1,0,57,169,1,d60c0832fc30e645ca04f074c44b49eb,-3,1,1,0
6,3,3,8,1,1,1,-1,0,57,169,1,d60c0832fc30e645ca04f074c44b49eb,-5,3,1,2
1,6,1,3,5,1,5,5,0,57,169,1,d60c0832fc30e645ca04f074c44b49eb,-2,0,3,-3
4,3,5,8,3,2,2,2,0,57,169,1,d60c0832fc30e645ca04f074c44b49eb,-3,1,1,0
6,5,3,6,1,1,1,1,0,57,169,1,d60c0832fc30e645ca04f074c44b49eb,-3,3,1,2
3,5,8,6,5,3,5,5,0,57,169,1,d60c0832fc30e645ca04f074c44b49eb,2,1,1,0
1,6,1,3,2,2,2,2,0,57,169,1,d60c0832fc30e645ca04f074c44b49eb,-2,0,3,-3
2,6,7,3,8,2,8,5,0,57,169,1,d60c0832fc30e645ca04f074c44b49eb,4,1,3,-2
7,6,10,3,0,3,0,0,0,57,169,1,d60c0832fc30e645ca04f074c44b49eb,7,10,3,7
7,1,10,1,0,3,0,0,0,57,169,1,d60c0832fc30e645ca04f074c44b49eb,9,10,0,10
6,3,3,8,1,1,1,1,0,57,169,1,d60c0832fc30e645ca04f074c44b49eb,-5,3,1,2
1,3,1,8,0,1,-1,-1,1,23,182,0,0b3df09027f409a78932dae68f21d84a,-7,0,1,-1
7,1,10,1,10,1,-1,-1,1,23,182,0,0b3df09027f409a78932dae68f21d84a,9,10,0,10
3,5,8,5,5,3,-1,-1,1,23,182,0,0b3df09027f409a78932dae68f21d84a,3,1,1,0
7,3,10,8,0,3,-1,-1,1,23,182,0,0b3df09027f409a78932dae68f21d84a,2,10,1,9
2,4,3,2,7,2,-1,-1,1,23,182,0,0b3df09027f409a78932dae68f21d84a,1,1,1,0
7,6,10,3,10,2,-1,-1,1,23,182,0,0b3df09027f409a78932dae68f21d84a,7,10,3,7
6,5,3,5,2,2,-1,-1,1,23,182,0,0b3df09027f409a78932dae68f21d84a,-2,3,1,2
4,6,2,3,7,3,-1,-1,1,23,182,0,0b3df09027f409a78932dae68f21d84a,-1,1,3,-2
2,5,3,5,2,1,-1,-1,1,23,182,0,0b3df09027f409a78932dae68f21d84a,-2,1,1,0
7,3,10,8,0,3,0,-1,1,23,182,0,0b3df09027f409a78932dae68f21d84a,2,10,1,9
1,3,1,8,0,1,0,-1,1,23,182,0,0b3df09027f409a78932dae68f21d84a,-7,0,1,-1
2,5,3,5,0,1,2,-1,1,23,182,0,0b3df09027f409a78932dae68f21d84a,-2,1,1,0
7,1,10,1,10,1,10,-1,1,23,182,0,0b3df09027f409a78932dae68f21d84a,9,10,0,10
2,4,3,2,7,2,7,-1,1,23,182,0,0b3df09027f409a78932dae68f21d84a,1,1,1,0
6,5,3,5,2,2,2,-1,1,23,182,0,0b3df09027f409a78932dae68f21d84a,-2,3,1,2
4,6,2,3,7,3,7,-1,1,23,182,0,0b3df09027f409a78932dae68f21d84a,-1,1,3,-2
7,6,10,3,10,2,10,-1,1,23,182,0,0b3df09027f409a78932dae68f21d84a,7,10,3,7
3,5,8,5,5,3,5,-1,1,23,182,0,0b3df09027f409a78932dae68f21d84a,3,1,1,0
7,3,10,8,0,3,0,0,1,23,182,0,0b3df09027f409a78932dae68f21d84a,2,10,1,9
6,5,3,5,2,2,2,2,1,23,182,0,0b3df09027f409a78932dae68f21d84a,-2,3,1,2
2,4,3,2,7,2,7,7,1,23,182,0,0b3df09027f409a78932dae68f21d84a,1,1,1,0
4,6,2,3,7,3,7,7,1,23,182,0,0b3df09027f409a78932dae68f21d84a,-1,1,3,-2
7,6,10,3,10,2,10,10,1,23,182,0,0b3df09027f409a78932dae68f21d84a,7,10,3,7
7,1,10,1,10,1,10,10,1,23,182,0,0b3df09027f409a78932dae68f21d84a,9,10,0,10
1,3,1,8,0,1,0,0,1,23,182,0,0b3df09027f409a78932dae68f21d84a,-7,0,1,-1
3,5,8,5,5,3,5,5,1,23,182,0,0b3df09027f409a78932dae68f21d84a,3,1,1,0
2,5,3,5,0,1,2,0,1,23,182,0,0b3df09027f409a78932dae68f21d84a,-2,1,1,0
4,7,6,10,3,2,-1,-1,0,24,158,0,95d0e71312fa611b6f257271e0205d67,-4,1,10,-9
2,7,6,10,6,3,-1,-1,0,24,158,0,95d0e71312fa611b6f257271e0205d67,-4,1,10,-9
6,5,4,7,2,1,-1,-1,0,24,158,0,95d0e71312fa611b6f257271e0205d67,-3,3,1,2
4,1,6,1,7,3,-1,-1,0,24,158,0,95d0e71312fa611b6f257271e0205d67,5,1,0,1
2,5,6,7,4,1,-1,-1,0,24,158,0,95d0e71312fa611b6f257271e0205d67,-1,1,1,0
2,6,6,4,7,2,-1,-1,0,24,158,0,95d0e71312fa611b6f257271e0205d67,2,1,3,-2
7,1,10,1,6,3,-1,-1,0,24,158,0,95d0e71312fa611b6f257271e0205d67,9,10,0,10
2,1,6,1,8,1,-1,-1,0,24,158,0,95d0e71312fa611b6f257271e0205d67,5,1,0,1
7,5,10,7,7,2,-1,-1,0,24,158,0,95d0e71312fa611b6f257271e0205d67,3,10,1,9
4,7,6,10,3,2,3,-1,0,24,158,0,95d0e71312fa611b6f257271e0205d67,-4,1,10,-9
4,1,6,1,7,3,7,-1,0,24,158,0,95d0e71312fa611b6f257271e0205d67,5,1,0,1
7,1,10,1,7,3,6,-1,0,24,158,0,95d0e71312fa611b6f257271e0205d67,9,10,0,10
