personnage_1;personnage_2;force_1;force_2;scenarios;task_1;task_2;repetition_question;id_participant;age;sexe;taille;enfant
1;5;7;3;4;8;2;1;d60c0832fc30e645ca04f074c44b49eb;57;Femme;169;Oui
5;9;3;6;2;1;9;1;d60c0832fc30e645ca04f074c44b49eb;57;Femme;169;Oui
5;8;3;8;3;1;9;1;d60c0832fc30e645ca04f074c44b49eb;57;Femme;169;Oui
3;5;10;3;9;0;10;1;d60c0832fc30e645ca04f074c44b49eb;57;Femme;169;Oui
8;9;8;6;7;5;5;1;d60c0832fc30e645ca04f074c44b49eb;57;Femme;169;Oui
3;4;10;1;8;0;10;1;d60c0832fc30e645ca04f074c44b49eb;57;Femme;169;Oui
4;5;1;3;1;5;5;1;d60c0832fc30e645ca04f074c44b49eb;57;Femme;169;Oui
4;5;1;3;5;2;8;1;d60c0832fc30e645ca04f074c44b49eb;57;Femme;169;Oui
2;8;5;8;6;2;8;1;d60c0832fc30e645ca04f074c44b49eb;57;Femme;169;Oui
4;5;1;3;5;2;8;2;d60c0832fc30e645ca04f074c44b49eb;57;Femme;169;Oui
3;5;10;3;9;0;10;2;d60c0832fc30e645ca04f074c44b49eb;57;Femme;169;Oui
5;9;3;6;2;1;9;2;d60c0832fc30e645ca04f074c44b49eb;57;Femme;169;Oui
8;9;8;6;7;5;5;2;d60c0832fc30e645ca04f074c44b49eb;57;Femme;169;Oui
3;4;10;1;8;0;10;2;d60c0832fc30e645ca04f074c44b49eb;57;Femme;169;Oui
4;5;1;3;1;5;5;2;d60c0832fc30e645ca04f074c44b49eb;57;Femme;169;Oui
1;5;7;3;4;5;5;2;d60c0832fc30e645ca04f074c44b49eb;57;Femme;169;Oui
2;8;5;8;6;2;8;2;d60c0832fc30e645ca04f074c44b49eb;57;Femme;169;Oui
5;8;3;8;3;1;9;2;d60c0832fc30e645ca04f074c44b49eb;57;Femme;169;Oui
4;5;1;3;1;5;5;3;d60c0832fc30e645ca04f074c44b49eb;57;Femme;169;Oui
2;8;5;8;6;3;7;3;d60c0832fc30e645ca04f074c44b49eb;57;Femme;169;Oui
5;9;3;6;2;1;9;3;d60c0832fc30e645ca04f074c44b49eb;57;Femme;169;Oui
8;9;8;6;7;5;5;3;d60c0832fc30e645ca04f074c44b49eb;57;Femme;169;Oui
4;5;1;3;5;2;8;3;d60c0832fc30e645ca04f074c44b49eb;57;Femme;169;Oui
1;5;7;3;4;8;2;3;d60c0832fc30e645ca04f074c44b49eb;57;Femme;169;Oui
3;5;10;3;9;0;10;3;d60c0832fc30e645ca04f074c44b49eb;57;Femme;169;Oui
3;4;10;1;8;0;10;3;d60c0832fc30e645ca04f074c44b49eb;57;Femme;169;Oui
5;8;3;8;3;1;9;3;d60c0832fc30e645ca04f074c44b49eb;57;Femme;169;Oui
4;8;1;8;2;0;10;1;0b3df09027f409a78932dae68f21d84a;23;Homme;182;Non
3;4;10;1;3;10;0;1;0b3df09027f409a78932dae68f21d84a;23;Homme;182;Non
8;9;8;5;8;5;5;1;0b3df09027f409a78932dae68f21d84a;23;Homme;182;Non
3;8;10;8;9;0;10;1;0b3df09027f409a78932dae68f21d84a;23;Homme;182;Non
1;2;3;2;4;7;3;1;0b3df09027f409a78932dae68f21d84a;23;Homme;182;Non
3;5;10;3;5;10;0;1;0b3df09027f409a78932dae68f21d84a;23;Homme;182;Non
5;9;3;5;6;2;8;1;0b3df09027f409a78932dae68f21d84a;23;Homme;182;Non
2;5;2;3;7;7;3;1;0b3df09027f409a78932dae68f21d84a;23;Homme;182;Non
1;9;3;5;1;2;8;1;0b3df09027f409a78932dae68f21d84a;23;Homme;182;Non
3;8;10;8;9;0;10;2;0b3df09027f409a78932dae68f21d84a;23;Homme;182;Non
4;8;1;8;2;0;10;2;0b3df09027f409a78932dae68f21d84a;23;Homme;182;Non
1;9;3;5;1;0;10;2;0b3df09027f409a78932dae68f21d84a;23;Homme;182;Non
3;4;10;1;3;10;0;2;0b3df09027f409a78932dae68f21d84a;23;Homme;182;Non
1;2;3;2;4;7;3;2;0b3df09027f409a78932dae68f21d84a;23;Homme;182;Non
5;9;3;5;6;2;8;2;0b3df09027f409a78932dae68f21d84a;23;Homme;182;Non
2;5;2;3;7;7;3;2;0b3df09027f409a78932dae68f21d84a;23;Homme;182;Non
3;5;10;3;5;10;0;2;0b3df09027f409a78932dae68f21d84a;23;Homme;182;Non
8;9;8;5;8;5;5;2;0b3df09027f409a78932dae68f21d84a;23;Homme;182;Non
3;8;10;8;9;0;10;3;0b3df09027f409a78932dae68f21d84a;23;Homme;182;Non
5;9;3;5;6;2;8;3;0b3df09027f409a78932dae68f21d84a;23;Homme;182;Non
1;2;3;2;4;7;3;3;0b3df09027f409a78932dae68f21d84a;23;Homme;182;Non
2;5;2;3;7;7;3;3;0b3df09027f409a78932dae68f21d84a;23;Homme;182;Non
3;5;10;3;5;10;0;3;0b3df09027f409a78932dae68f21d84a;23;Homme;182;Non
3;4;10;1;3;10;0;3;0b3df09027f409a78932dae68f21d84a;23;Homme;182;Non
4;8;1;8;2;0;10;3;0b3df09027f409a78932dae68f21d84a;23;Homme;182;Non
8;9;8;5;8;5;5;3;0b3df09027f409a78932dae68f21d84a;23;Homme;182;Non
1;9;3;5;1;0;10;3;0b3df09027f409a78932dae68f21d84a;23;Homme;182;Non
5;9;7;8;8;3;7;1;49af6504b50e11aab6a2174242d05ca1;24;Homme;186;Non
8;9;10;8;1;5;5;1;49af6504b50e11aab6a2174242d05ca1;24;Homme;186;Non
1;2;4;3;2;8;2;1;49af6504b50e11aab6a2174242d05ca1;24;Homme;186;Non
1;8;4;10;9;7;3;1;49af6504b50e11aab6a2174242d05ca1;24;Homme;186;Non
4;9;1;8;7;0;10;1;49af6504b50e11aab6a2174242d05ca1;24;Homme;186;Non
2;5;3;7;6;6;4;1;49af6504b50e11aab6a2174242d05ca1;24;Homme;186;Non
4;9;1;8;5;1;9;1;49af6504b50e11aab6a2174242d05ca1;24;Homme;186;Non
1;8;4;10;3;3;7;1;49af6504b50e11aab6a2174242d05ca1;24;Homme;186;Non
8;9;10;8;4;7;3;1;49af6504b50e11aab6a2174242d05ca1;24;Homme;186;Non
1;8;4;10;3;2;8;2;49af6504b50e11aab6a2174242d05ca1;24;Homme;186;Non
4;9;1;8;5;1;9;2;49af6504b50e11aab6a2174242d05ca1;24;Homme;186;Non
2;5;3;7;6;4;6;2;49af6504b50e11aab6a2174242d05ca1;24;Homme;186;Non
8;9;10;8;1;4;6;2;49af6504b50e11aab6a2174242d05ca1;24;Homme;186;Non
1;2;4;3;2;4;6;2;49af6504b50e11aab6a2174242d05ca1;24;Homme;186;Non
1;8;4;10;9;7;3;2;49af6504b50e11aab6a2174242d05ca1;24;Homme;186;Non
4;9;1;8;7;1;9;2;49af6504b50e11aab6a2174242d05ca1;24;Homme;186;Non
8;9;10;8;4;7;3;2;49af6504b50e11aab6a2174242d05ca1;24;Homme;186;Non
5;9;7;8;8;3;7;2;49af6504b50e11aab6a2174242d05ca1;24;Homme;186;Non
8;9;10;8;4;7;3;3;49af6504b50e11aab6a2174242d05ca1;24;Homme;186;Non
8;9;10;8;1;5;5;3;49af6504b50e11aab6a2174242d05ca1;24;Homme;186;Non
2;5;3;7;6;4;6;3;49af6504b50e11aab6a2174242d05ca1;24;Homme;186;Non
4;9;1;8;7;1;9;3;49af6504b50e11aab6a2174242d05ca1;24;Homme;186;Non
1;2;4;3;2;5;5;3;49af6504b50e11aab6a2174242d05ca1;24;Homme;186;Non
4;9;1;8;5;1;9;3;49af6504b50e11aab6a2174242d05ca1;24;Homme;186;Non
1;8;4;10;9;5;5;3;49af6504b50e11aab6a2174242d05ca1;24;Homme;186;Non
1;8;4;10;3;2;8;3;49af6504b50e11aab6a2174242d05ca1;24;Homme;186;Non
5;9;7;8;8;2;8;3;49af6504b50e11aab6a2174242d05ca1;24;Homme;186;Non
2;3;6;10;5;3;7;1;95d0e71312fa611b6f257271e0205d67;24;Femme;158;Non
1;3;6;10;7;6;4;1;95d0e71312fa611b6f257271e0205d67;24;Femme;158;Non
5;9;4;7;1;2;8;1;95d0e71312fa611b6f257271e0205d67;24;Femme;158;Non
2;4;6;1;9;7;3;1;95d0e71312fa611b6f257271e0205d67;24;Femme;158;Non
1;9;6;7;3;4;6;1;95d0e71312fa611b6f257271e0205d67;24;Femme;158;Non
1;5;6;4;6;7;3;1;95d0e71312fa611b6f257271e0205d67;24;Femme;158;Non
3;4;10;1;8;6;4;1;95d0e71312fa611b6f257271e0205d67;24;Femme;158;Non
1;4;6;1;2;8;2;1;95d0e71312fa611b6f257271e0205d67;24;Femme;158;Non
3;9;10;7;4;7;3;1;95d0e71312fa611b6f257271e0205d67;24;Femme;158;Non
2;3;6;10;5;3;7;2;95d0e71312fa611b6f257271e0205d67;24;Femme;158;Non
2;4;6;1;9;7;3;2;95d0e71312fa611b6f257271e0205d67;24;Femme;158;Non
3;4;10;1;8;7;3;2;95d0e71312fa611b6f257271e0205d67;24;Femme;158;Non
1;9;6;7;3;4;6;2;95d0e71312fa611b6f257271e0205d67;24;Femme;158;Non
5;9;4;7;1;2;8;2;95d0e71312fa611b6f257271e0205d67;24;Femme;158;Non
1;4;6;1;2;8;2;2;95d0e71312fa611b6f257271e0205d67;24;Femme;158;Non
1;5;6;4;6;8;2;2;95d0e71312fa611b6f257271e0205d67;24;Femme;158;Non
1;3;6;10;7;7;3;2;95d0e71312fa611b6f257271e0205d67;24;Femme;158;Non
3;9;10;7;4;7;3;2;95d0e71312fa611b6f257271e0205d67;24;Femme;158;Non
3;9;10;7;4;7;3;3;95d0e71312fa611b6f257271e0205d67;24;Femme;158;Non
2;4;6;1;9;7;3;3;95d0e71312fa611b6f257271e0205d67;24;Femme;158;Non
1;9;6;7;3;4;6;3;95d0e71312fa611b6f257271e0205d67;24;Femme;158;Non
2;3;6;10;5;3;7;3;95d0e71312fa611b6f257271e0205d67;24;Femme;158;Non
1;5;6;4;6;8;2;3;95d0e71312fa611b6f257271e0205d67;24;Femme;158;Non
1;3;6;10;7;7;3;3;95d0e71312fa611b6f257271e0205d67;24;Femme;158;Non
5;9;4;7;1;2;8;3;95d0e71312fa611b6f257271e0205d67;24;Femme;158;Non
3;4;10;1;8;7;3;3;95d0e71312fa611b6f257271e0205d67;24;Femme;158;Non
1;4;6;1;2;9;1;3;95d0e71312fa611b6f257271e0205d67;24;Femme;158;Non
2;4;5;1;3;6;4;1;01276ee53afbdb3982262250788dfc1f;26;Femme;155;Non
2;5;5;3;6;7;3;1;01276ee53afbdb3982262250788dfc1f;26;Femme;155;Non
3;5;10;3;5;8;2;1;01276ee53afbdb3982262250788dfc1f;26;Femme;155;Non
2;3;5;10;1;7;3;1;01276ee53afbdb3982262250788dfc1f;26;Femme;155;Non
2;3;5;10;8;10;0;1;01276ee53afbdb3982262250788dfc1f;26;Femme;155;Non
3;9;10;7;4;6;4;1;01276ee53afbdb3982262250788dfc1f;26;Femme;155;Non
2;4;5;1;7;9;1;1;01276ee53afbdb3982262250788dfc1f;26;Femme;155;Non
4;9;1;7;9;4;6;1;01276ee53afbdb3982262250788dfc1f;26;Femme;155;Non
1;3;5;10;2;7;3;1;01276ee53afbdb3982262250788dfc1f;26;Femme;155;Non
3;5;10;3;5;9;1;2;01276ee53afbdb3982262250788dfc1f;26;Femme;155;Non
1;3;5;10;2;6;4;2;01276ee53afbdb3982262250788dfc1f;26;Femme;155;Non
2;4;5;1;7;8;2;2;01276ee53afbdb3982262250788dfc1f;26;Femme;155;Non
4;9;1;7;9;4;6;2;01276ee53afbdb3982262250788dfc1f;26;Femme;155;Non
2;3;5;10;8;10;0;2;01276ee53afbdb3982262250788dfc1f;26;Femme;155;Non
2;3;5;10;1;5;5;2;01276ee53afbdb3982262250788dfc1f;26;Femme;155;Non
2;4;5;1;3;8;2;2;01276ee53afbdb3982262250788dfc1f;26;Femme;155;Non
3;9;10;7;4;7;3;2;01276ee53afbdb3982262250788dfc1f;26;Femme;155;Non
2;5;5;3;6;8;2;2;01276ee53afbdb3982262250788dfc1f;26;Femme;155;Non
2;5;5;3;6;8;2;3;01276ee53afbdb3982262250788dfc1f;26;Femme;155;Non
2;3;5;10;1;6;4;3;01276ee53afbdb3982262250788dfc1f;26;Femme;155;Non
3;9;10;7;4;8;2;3;01276ee53afbdb3982262250788dfc1f;26;Femme;155;Non
4;9;1;7;9;4;6;3;01276ee53afbdb3982262250788dfc1f;26;Femme;155;Non
1;3;5;10;2;6;4;3;01276ee53afbdb3982262250788dfc1f;26;Femme;155;Non
2;4;5;1;3;8;2;3;01276ee53afbdb3982262250788dfc1f;26;Femme;155;Non
2;3;5;10;8;10;0;3;01276ee53afbdb3982262250788dfc1f;26;Femme;155;Non
3;5;10;3;5;10;0;3;01276ee53afbdb3982262250788dfc1f;26;Femme;155;Non
2;4;5;1;7;9;1;3;01276ee53afbdb3982262250788dfc1f;26;Femme;155;Non
2;8;4;9;7;5;5;1;07b4dcc4136b8ed5f146b9200fe99b81;24;Femme;156;Non
3;8;10;9;4;8;2;1;07b4dcc4136b8ed5f146b9200fe99b81;24;Femme;156;Non
8;9;9;8;8;5;5;1;07b4dcc4136b8ed5f146b9200fe99b81;24;Femme;156;Non
3;4;10;1;5;10;0;1;07b4dcc4136b8ed5f146b9200fe99b81;24;Femme;156;Non
1;2;4;4;1;5;5;1;07b4dcc4136b8ed5f146b9200fe99b81;24;Femme;156;Non
1;4;4;1;6;9;1;1;07b4dcc4136b8ed5f146b9200fe99b81;24;Femme;156;Non
5;8;6;9;9;4;6;1;07b4dcc4136b8ed5f146b9200fe99b81;24;Femme;156;Non
2;3;4;10;2;1;9;1;07b4dcc4136b8ed5f146b9200fe99b81;24;Femme;156;Non
1;3;4;10;3;3;7;1;07b4dcc4136b8ed5f146b9200fe99b81;24;Femme;156;Non
5;8;6;9;9;4;6;2;07b4dcc4136b8ed5f146b9200fe99b81;24;Femme;156;Non
1;4;4;1;6;9;1;2;07b4dcc4136b8ed5f146b9200fe99b81;24;Femme;156;Non
2;3;4;10;2;1;9;2;07b4dcc4136b8ed5f146b9200fe99b81;24;Femme;156;Non
1;3;4;10;3;3;7;2;07b4dcc4136b8ed5f146b9200fe99b81;24;Femme;156;Non
3;4;10;1;5;9;1;2;07b4dcc4136b8ed5f146b9200fe99b81;24;Femme;156;Non
1;2;4;4;1;5;5;2;07b4dcc4136b8ed5f146b9200fe99b81;24;Femme;156;Non
3;8;10;9;4;7;3;2;07b4dcc4136b8ed5f146b9200fe99b81;24;Femme;156;Non
2;8;4;9;7;5;5;2;07b4dcc4136b8ed5f146b9200fe99b81;24;Femme;156;Non
8;9;9;8;8;5;5;2;07b4dcc4136b8ed5f146b9200fe99b81;24;Femme;156;Non
2;8;4;9;7;5;5;3;07b4dcc4136b8ed5f146b9200fe99b81;24;Femme;156;Non
1;4;4;1;6;9;1;3;07b4dcc4136b8ed5f146b9200fe99b81;24;Femme;156;Non
3;8;10;9;4;7;3;3;07b4dcc4136b8ed5f146b9200fe99b81;24;Femme;156;Non
8;9;9;8;8;5;5;3;07b4dcc4136b8ed5f146b9200fe99b81;24;Femme;156;Non
3;4;10;1;5;10;0;3;07b4dcc4136b8ed5f146b9200fe99b81;24;Femme;156;Non
1;3;4;10;3;3;7;3;07b4dcc4136b8ed5f146b9200fe99b81;24;Femme;156;Non
5;8;6;9;9;4;6;3;07b4dcc4136b8ed5f146b9200fe99b81;24;Femme;156;Non
1;2;4;4;1;5;5;3;07b4dcc4136b8ed5f146b9200fe99b81;24;Femme;156;Non
2;3;4;10;2;1;9;3;07b4dcc4136b8ed5f146b9200fe99b81;24;Femme;156;Non
3;8;10;7;9;0;10;1;ed8cb90f36a2ee2715a5430537977a20;20;Homme;168;Non
3;8;10;7;7;0;10;1;ed8cb90f36a2ee2715a5430537977a20;20;Homme;168;Non
5;8;2;7;5;0;10;1;ed8cb90f36a2ee2715a5430537977a20;20;Homme;168;Non
2;5;4;2;4;8;2;1;ed8cb90f36a2ee2715a5430537977a20;20;Homme;168;Non
4;9;1;6;2;3;7;1;ed8cb90f36a2ee2715a5430537977a20;20;Homme;168;Non
2;4;4;1;3;8;2;1;ed8cb90f36a2ee2715a5430537977a20;20;Homme;168;Non
1;2;5;4;8;5;5;1;ed8cb90f36a2ee2715a5430537977a20;20;Homme;168;Non
1;9;5;6;1;5;5;1;ed8cb90f36a2ee2715a5430537977a20;20;Homme;168;Non
5;8;2;7;6;1;9;1;ed8cb90f36a2ee2715a5430537977a20;20;Homme;168;Non
2;4;4;1;3;9;1;2;ed8cb90f36a2ee2715a5430537977a20;20;Homme;168;Non
3;8;10;7;7;0;10;2;ed8cb90f36a2ee2715a5430537977a20;20;Homme;168;Non
2;5;4;2;4;8;2;2;ed8cb90f36a2ee2715a5430537977a20;20;Homme;168;Non
5;8;2;7;6;1;9;2;ed8cb90f36a2ee2715a5430537977a20;20;Homme;168;Non
1;2;5;4;8;5;5;2;ed8cb90f36a2ee2715a5430537977a20;20;Homme;168;Non
3;8;10;7;9;0;10;2;ed8cb90f36a2ee2715a5430537977a20;20;Homme;168;Non
1;9;5;6;1;5;5;2;ed8cb90f36a2ee2715a5430537977a20;20;Homme;168;Non
5;8;2;7;5;0;10;2;ed8cb90f36a2ee2715a5430537977a20;20;Homme;168;Non
4;9;1;6;2;2;8;2;ed8cb90f36a2ee2715a5430537977a20;20;Homme;168;Non
2;4;4;1;3;8;2;3;ed8cb90f36a2ee2715a5430537977a20;20;Homme;168;Non
5;8;2;7;5;0;10;3;ed8cb90f36a2ee2715a5430537977a20;20;Homme;168;Non
